Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-08-10,894.0,6648.0,6329.0,350.0,4546.0,28.065,35.109,53.0,176.0,60.0,37.0,100.0,9180.0,67.0,8.0,606.0,,13.0
2023-08-11,789.0,10296.0,8450.0,1262.0,7103.0,17.513,20.015,54.0,173.0,61.0,37.0,97.0,10980.0,45.0,5.0,563.0,,12.0
2023-08-12,13.0,1146.0,923.0,166.0,308.0,8.481,3.851,50.0,103.0,61.0,24.0,78.0,2220.0,82.0,5.0,573.0,,13.0
2023-08-13,3400.0,2012.0,109002.0,63.0,2898.0,6.096,4.75,61.0,181.0,61.0,60.0,100.0,3840.0,84.0,5.0,597.0,4366.0,12.0
2023-08-14,568.0,6489.0,6150.0,242.0,4560.0,67.163,22.345,56.0,158.0,62.0,36.0,94.0,8100.0,39.0,5.0,609.0,,12.0
2023-08-15,525.0,8787.0,6996.0,58.0,5175.0,33.528,20.398,51.0,151.0,61.0,27.0,99.0,8100.0,83.0,11.0,564.0,,12.0
2023-08-16,1439.0,3597.0,51961.0,157.0,2495.0,14.079,15.651,51.0,189.0,60.0,32.0,97.0,4740.0,85.0,8.0,548.0,1607.0,12.0
2023-08-17,323.0,5520.0,4435.0,278.0,3045.0,32.186,17.423,57.0,166.0,61.0,34.0,100.0,6600.0,49.0,8.0,584.0,,12.0
2023-08-18,289.0,8905.0,7276.0,929.0,3983.0,39.793,76.845,48.0,136.0,59.0,28.0,91.0,7440.0,90.0,17.0,524.0,,13.0
2023-08-19,658.0,14585.0,11756.0,805.0,8134.0,83.511,41.713,43.0,141.0,59.0,27.0,99.0,14880.0,100.0,21.0,479.0,,13.0
2023-08-20,151.0,6089.0,4848.0,546.0,2481.0,4.669,6.411,44.0,116.0,57.0,22.0,96.0,7440.0,100.0,20.0,661.0,,13.0
2023-08-21,37.0,2734.0,2186.0,298.0,795.0,3.048,7.470000000000001,44.0,100.0,55.0,25.0,90.0,5160.0,100.0,30.0,1256.0,,12.0
2023-08-22,3183.0,3220.0,68760.0,171.0,3384.0,20.287,15.066,45.0,189.0,54.0,34.0,96.0,5340.0,100.0,6.0,1295.0,3479.0,12.0
2023-08-23,830.0,18273.0,11801.0,3010.0,9334.0,656.787,660.711,49.0,150.0,54.0,36.0,98.0,14100.0,59.0,7.0,1425.0,2590.0,13.0
2023-08-24,13.0,1751.0,1394.0,272.0,327.0,9.826,7.102,47.0,96.0,52.0,24.0,84.0,3180.0,84.0,15.0,1316.0,,12.0
2023-08-25,121.0,4206.0,3349.0,460.0,1699.0,21.372,14.64,46.0,128.0,51.0,26.0,95.0,7260.0,100.0,24.0,1155.0,,12.0
2023-08-26,150.0,2053.0,1721.0,180.0,1209.0,12.192,11.321,46.0,144.0,51.0,33.0,99.0,2580.0,95.0,23.0,489.0,,13.0
2023-08-27,688.0,2123.0,26400.0,197.0,1226.0,0.0,0.0,48.0,191.0,52.0,36.0,98.0,5760.0,77.0,14.0,584.0,671.0,12.0
2023-08-28,646.0,11172.0,8908.0,265.0,8394.0,6.096,35.039,55.0,156.0,53.0,43.0,99.0,10200.0,46.0,5.0,319.0,,13.0
2023-08-29,696.0,27174.0,21686.0,214.0,14643.0,75.177,48.975,47.0,118.0,54.0,26.0,85.0,20340.0,83.0,5.0,30.0,,13.0
2023-08-30,584.0,19992.0,15918.0,498.0,11095.0,43.5,32.166,52.0,151.0,54.0,32.0,94.0,15120.0,84.0,23.0,32.0,,13.0
2023-08-31,683.0,15091.0,12099.0,267.0,9586.0,99.587,85.772,58.0,148.0,55.0,49.0,100.0,15240.0,29.0,5.0,27.0,,13.0
2023-09-01,571.0,18889.0,15040.0,411.0,10880.0,42.672,35.029,53.0,131.0,56.0,36.0,99.0,16800.0,58.0,5.0,14.0,,12.0
2023-09-02,1057.0,23016.0,18495.0,224.0,15700.0,12.297,4.798,65.0,135.0,59.0,57.0,99.0,16620.0,20.0,5.0,13.0,,13.0
2023-09-03,356.0,10725.0,8539.0,106.0,5921.0,14.197,7.036,53.0,132.0,60.0,28.0,97.0,10920.0,52.0,5.0,77.0,,12.0
2023-09-04,195.0,10193.0,8233.0,322.0,4514.0,39.624,43.298,47.0,104.0,59.0,29.0,90.0,11940.0,88.0,14.0,174.0,,12.0
2023-09-05,190.0,6858.0,5507.0,326.0,3642.0,55.284,37.013,48.0,116.0,59.0,37.0,94.0,11760.0,91.0,11.0,234.0,,13.0
2023-09-06,108.0,4754.0,3841.0,239.0,2156.0,53.352,53.345,49.0,111.0,60.0,36.0,90.0,8220.0,47.0,12.0,226.0,,13.0
2023-09-07,672.0,9234.0,7367.0,194.0,7780.0,46.534,23.676,51.0,142.0,60.0,44.0,99.0,12000.0,61.0,5.0,232.0,,12.0
2023-09-08,1807.0,33280.0,25247.0,1374.0,18719.0,617.816,510.226,59.0,166.0,60.0,39.0,92.0,22620.0,32.0,5.0,348.0,3108.0,13.0
2023-09-09,2210.0,34813.0,26176.0,3087.0,18537.0,899.388,784.342,49.0,187.0,59.0,34.0,93.0,23280.0,64.0,5.0,449.0,3395.0,12.0
2023-09-10,1127.0,20407.0,15590.0,2547.0,9476.0,480.87,543.109,49.0,183.0,59.0,36.0,99.0,15720.0,57.0,12.0,342.0,1325.0,12.0
2023-09-11,127.0,3316.0,2655.0,101.0,2222.0,0.0,3.149,67.0,122.0,61.0,56.0,93.0,6900.0,67.0,11.0,86.0,,12.0
2023-09-12,719.0,15439.0,12389.0,222.0,9785.0,35.78,49.6,48.0,147.0,61.0,47.0,98.0,13620.0,57.0,5.0,-6.0,,13.0
2023-09-13,355.0,12319.0,9900.0,141.0,7070.0,20.161,29.504,56.0,115.0,61.0,36.0,93.0,6120.0,35.0,5.0,337.0,,12.0
2023-09-14,127.0,4378.0,3506.0,148.0,2145.0,27.777,42.604,51.0,132.0,61.0,26.0,89.0,5100.0,93.0,18.0,424.0,,12.0
2023-09-15,154.0,4619.0,3699.0,320.0,2376.0,16.973,27.326,47.0,116.0,59.0,34.0,94.0,5820.0,100.0,16.0,487.0,,12.0
2023-09-16,143.0,4656.0,3923.0,406.0,1905.0,4.335,2.355,47.0,144.0,59.0,29.0,95.0,6360.0,82.0,14.0,571.0,,12.0
2023-09-17,182.0,6012.0,4819.0,734.0,2253.0,24.384,19.364,47.0,129.0,58.0,33.0,96.0,7020.0,94.0,21.0,553.0,,12.0
2023-09-18,1111.0,3272.0,9270.0,243.0,3031.0,8.009,18.635,50.0,195.0,56.0,42.0,99.0,9600.0,82.0,10.0,478.0,266.0,12.0
2023-09-19,3142.0,18106.0,24015.0,3184.0,8160.0,40.148,50.473,58.0,197.0,57.0,54.0,99.0,14040.0,32.0,5.0,451.0,946.0,13.0
