Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2024-01-28,3.0,96.0,81.0,240,180,0.0,0.0,48.0,92.0,53.0,26,42.0,240.0,24.0,22.0,457.0,,14.0
2024-01-29,997.0,8023.0,6790.0,1028,5343,46.233,129.51,51.0,152.0,54.0,69,96.0,8760.0,61.0,15.0,501.0,968.0,14.0
2024-01-30,0.0,,,0,0,0.0,0.0,,,,-1,,,,,526.0,,
2024-01-31,691.0,691.0,21197.0,18,721,7.454,5.101,59.0,169.0,65.0,72,99.0,3180.0,46.0,24.0,585.0,617.0,14.0
2024-02-01,0.0,21.0,18.0,0,30,0.0,0.0,71.0,71.0,,-1,,,54.0,54.0,640.0,,15.0
2024-02-17,0.0,,,0,0,0.0,0.0,42.0,82.0,60.0,13,64.0,480.0,49.0,22.0,640.0,,16.0
2024-02-18,741.0,5401.0,4611.0,1356,4486,41.001,64.831,39.0,161.0,56.0,24,98.0,9900.0,100.0,20.0,637.0,496.0,14.0
2024-02-19,860.0,9835.0,8451.0,2184,4536,92.487,182.91,40.0,154.0,54.0,31,93.0,13320.0,96.0,17.0,579.0,608.0,14.0
2024-02-20,798.0,12199.0,10421.0,2913,4315,70.44,189.701,43.0,143.0,52.0,36,94.0,17940.0,59.0,5.0,583.0,680.0,13.0
2024-02-21,1013.0,11051.0,9417.0,911,6868,85.935,89.875,46.0,156.0,52.0,32,96.0,13800.0,60.0,7.0,595.0,712.0,14.0
2024-02-22,197.0,7048.0,5996.0,879,2787,56.08,83.412,43.0,119.0,46.0,34,88.0,7500.0,79.0,20.0,780.0,,14.0
2024-02-23,748.0,8614.0,7290.0,817,5543,33.528,31.696,47.0,156.0,47.0,34,99.0,11640.0,73.0,13.0,822.0,685.0,13.0
2024-02-24,0.0,,,0,0,0.0,0.0,,,,-1,,,,,820.0,,
2024-02-25,459.0,5115.0,5983.0,1755,551,76.216,70.136,54.0,177.0,50.0,34,66.0,2400.0,36.0,28.0,800.0,462.0,15.0
2024-02-26,705.0,8688.0,7508.0,1128,5370,50.945,57.591,51.0,143.0,52.0,39,95.0,11700.0,86.0,23.0,557.0,618.0,14.0
