Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2024-01-29,2133.0,3677,104004,589,2273,3.169,0.0,49,183,61,36,99,7440,69,8,603.0,2432.0,13.0
2024-01-30,1398.0,16482,16169,4175,6318,77.318,63.57,61,172,61,43,99,15300,39,5,525.0,761.0,13.0
2024-01-31,1502.0,4084,61113,251,2946,0.0,0.0,54,182,62,36,99,5880,44,5,560.0,1451.0,13.0
2024-02-01,211.0,7809,6312,517,3326,15.24,23.198,55,131,63,34,93,7980,51,5,546.0,,12.0
2024-02-02,1718.0,12179,9787,592,11822,52.638,23.706,58,185,64,51,99,14460,31,5,536.0,,13.0
2024-02-03,642.0,8323,6664,462,8038,21.534,33.248,50,137,64,37,97,13500,18,5,1116.0,,13.0
2024-02-04,671.0,9569,9340,3012,1426,98.797,91.548,49,172,63,20,99,7920,88,5,565.0,568.0,12.0
2024-02-05,3516.0,5374,131864,1405,4875,51.057,61.65,48,182,62,54,96,9600,99,9,884.0,3247.0,13.0
2024-02-06,52.0,1092,869,48,731,4.741,4.628,52,107,62,42,95,3300,31,5,1416.0,,12.0
2024-02-07,774.0,12681,11512,4586,1112,381.602,377.468,53,176,62,33,94,7620,75,5,1406.0,841.0,12.0
2024-02-08,197.0,6059,4966,1086,2227,45.72,44.085,49,123,60,26,96,10380,89,12,1548.0,,12.0
2024-02-09,2429.0,7912,122440,1638,3600,67.62,198.774,53,170,59,33,96,9420,70,5,993.0,2366.0,13.0
2024-02-10,91.0,4376,3528,305,1713,13.853,13.498,48,116,58,22,90,6420,98,5,561.0,,13.0
2024-02-11,634.0,21762,17484,1362,10998,31.955,113.482,49,142,58,22,97,16980,54,17,579.0,,13.0
2024-02-12,1421.0,28942,24640,5208,9609,141.765,138.605,47,158,58,27,99,19080,91,16,596.0,1162.0,12.0
2024-02-13,614.0,19399,15495,345,11029,51.816,76.922,55,130,58,36,96,15600,61,9,664.0,,13.0
2024-02-14,1035.0,20944,19466,4545,5341,75.089,81.895,49,179,57,29,96,15120,58,5,702.0,1137.0,13.0
2024-02-15,991.0,16687,14567,5108,2911,189.727,183.845,47,172,57,22,93,10680,100,34,604.0,1025.0,12.0
2024-02-16,723.0,5511,5702,528,3996,21.336,19.382,46,163,56,26,100,11220,100,24,536.0,,12.0
2024-02-17,1288.0,5603,54586,494,2763,6.096,33.995,55,196,57,38,91,6780,58,12,539.0,1115.0,13.0
2024-02-18,1520.0,25396,25777,7386,4089,43.595,220.155,53,170,57,25,91,16080,64,15,568.0,1666.0,13.0
2024-02-19,664.0,15453,13262,4234,2668,76.783,73.964,53,145,57,32,93,11880,80,15,514.0,785.0,12.0
2024-02-20,707.0,9124,9252,340,5645,71.248,42.521,46,172,57,23,79,12780,84,20,513.0,,13.0
2024-02-21,2200.0,7808,59589,938,7461,15.78,23.753,49,179,57,26,99,12060,100,20,562.0,2083.0,12.0
2024-02-22,732.0,14367,13850,3325,3246,74.629,73.285,45,179,58,30,81,11400,46,17,553.0,705.0,12.0
2024-02-23,244.0,8844,7162,940,3627,65.646,38.846,51,131,58,31,93,8700,77,14,662.0,,12.0
2024-02-24,1200.0,14407,11781,1690,10994,218.691,153.816,55,161,59,48,95,19920,53,5,1440.0,,13.0
2024-02-25,892.0,14006,11271,1306,10677,33.528,244.344,53,142,60,42,99,16320,20,5,1213.0,,12.0
2024-02-26,410.0,10341,8755,2393,2370,42.973,37.212,45,140,58,20,89,8040,99,6,589.0,427.0,12.0
2024-02-27,1477.0,10908,30859,1472,5943,56.169,54.636,45,192,59,29,96,14280,100,17,515.0,474.0,12.0
2024-02-28,515.0,3768,3000,195,1909,10.208,9.642,48,152,59,25,93,4920,90,17,556.0,773.0,13.0
2024-02-29,589.0,13409,12028,2313,4196,60.193,38.716,44,169,58,26,97,9840,90,26,510.0,481.0,13.0
2024-03-01,1093.0,6494,7712,341,4335,28.959,23.717,48,189,58,31,100,11640,94,19,466.0,,12.0
2024-03-02,2633.0,17668,69719,3962,7650,66.333,261.763,51,189,57,45,99,14940,75,5,442.0,1948.0,13.0
2024-03-03,177.0,4373,3502,372,3023,18.288,18.824,47,119,56,27,96,5700,53,5,351.0,,12.0
2024-03-04,687.0,15436,13935,2960,5771,85.427,59.408,47,171,56,24,86,11400,99,28,504.0,514.0,13.0
2024-03-05,389.0,5042,4023,555,3471,45.72,4.818,48,164,55,26,92,9060,100,28,542.0,512.0,13.0
2024-03-06,2324.0,4752,76000,265,6111,6.422,4.514,47,167,55,33,100,9480,92,11,515.0,2443.0,13.0
2024-03-07,1088.0,16530,15527,2801,6055,24.507,211.863,44,169,54,28,100,12360,90,11,469.0,593.0,12.0
2024-03-08,1096.0,6153,6735,335,4190,22.186,18.123,46,173,54,34,100,9720,77,8,481.0,,13.0
2024-03-09,950.0,17661,17104,4209,3944,112.776,98.238,48,170,54,24,95,11160,68,11,606.0,1001.0,13.0
2024-03-10,154.0,5081,4070,341,2465,18.67,20.887,48,126,54,28,97,5760,91,25,421.0,,13.0
2024-03-11,1458.0,13534,14290,2875,5089,46.147,43.575,43,181,53,26,99,14040,100,19,328.0,661.0,13.0
2024-03-12,859.0,12588,12082,3807,2471,76.2,74.049,50,161,54,34,96,8880,58,6,500.0,1116.0,12.0
2024-03-13,1763.0,3678,70528,432,2266,14.393,9.676,47,174,54,37,96,5220,87,6,578.0,1827.0,13.0
2024-03-14,1586.0,18786,36894,3899,6492,46.224,44.624,46,185,55,37,96,14340,45,5,487.0,1341.0,13.0
2024-03-15,1287.0,13469,14276,541,8194,66.051,48.711,51,163,55,40,100,15840,57,5,441.0,,12.0
2024-03-16,855.0,14153,14048,4099,2185,96.598,102.789,51,168,55,38,96,10380,49,5,518.0,1001.0,12.0
2024-03-17,1783.0,21372,17910,4895,9425,49.076,27.376,57,193,56,45,100,18360,33,5,515.0,1353.0,13.0
2024-03-18,1086.0,8658,8799,351,5977,45.792,32.268,52,161,57,36,99,11640,59,5,502.0,,14.0
2024-03-19,779.0,12437,11062,3618,2933,92.022,194.983,44,162,58,25,96,9240,81,10,547.0,1067.0,13.0
2024-03-20,3101.0,5363,93668,479,6315,11.388,25.395,48,176,57,31,100,13500,98,13,560.0,3435.0,13.0
2024-03-21,556.0,10250,9171,1861,3361,23.359,25.794,51,167,57,43,100,9900,26,5,443.0,362.0,13.0
2024-03-22,968.0,7560,6758,379,4269,14.34,14.896,45,168,57,25,99,9300,74,9,445.0,355.0,12.0
2024-03-23,188.0,8536,6849,382,3732,61.25,18.442,45,117,56,23,96,9120,87,16,594.0,,12.0
2024-03-24,1407.0,7546,38188,1194,4974,15.24,14.263,46,186,55,31,99,10080,85,8,549.0,1485.0,13.0
2024-03-25,847.0,14688,13677,3291,3975,30.902,40.097,50,172,55,29,99,10440,73,10,569.0,744.0,13.0
2024-03-26,1265.0,11554,11060,3803,2354,62.33,64.114,49,163,54,35,100,9000,79,18,520.0,1478.0,13.0
2024-03-27,511.0,4097,3531,3265,2833,0.0,15.105,41,145,55,33,99,6660,87,17,527.0,570.0,13.0
2024-03-28,1209.0,22065,22311,5235,5248,79.505,120.895,49,175,54,40,99,16260,70,5,460.0,1096.0,13.0
2024-03-29,171.0,9530,7588,280,4335,27.668,19.234,47,114,55,32,87,9240,51,5,453.0,,13.0
2024-03-30,1022.0,28701,24656,4106,9459,160.302,154.244,48,155,55,24,90,19200,92,27,106.0,745.0,14.0
2024-03-31,319.0,13443,10894,522,6517,134.868,149.327,48,127,56,27,84,11040,83,27,6.0,,13.0
2024-04-01,853.0,17993,14064,2606,8323,615.728,512.82,45,180,55,31,98,12060,93,18,54.0,972.0,13.0
2024-04-02,315.0,12455,10065,322,6003,129.044,70.319,51,117,55,26,84,10200,55,18,64.0,,14.0
2024-04-03,1136.0,15256,15206,5451,1885,445.643,435.609,47,176,55,30,96,9600,100,22,131.0,1173.0,14.0
2024-04-04,312.0,12064,10065,1241,5151,161.544,153.258,51,120,55,30,93,9960,64,21,106.0,,13.0
2024-04-05,203.0,10128,8437,443,4868,30.48,68.587,47,115,55,26,96,8580,97,30,107.0,,13.0
2024-04-06,461.0,19305,15458,259,10434,102.621,64.474,50,122,55,33,94,15060,73,20,270.0,,14.0
2024-04-07,134.0,5400,4360,248,2910,12.084999999999999,12.919,49,122,55,32,91,6120,66,15,394.0,,12.0
2024-04-08,2234.0,20840,22977,5377,7053,126.754,228.889,46,198,55,45,97,19620,84,5,549.0,1117.0,13.0
2024-04-09,229.0,6103,4888,757,2543,56.459,8.971,60,125,56,47,93,7020,22,5,497.0,,13.0
2024-04-10,2629.0,9634,60229,1797,9130,11.071,13.371,52,191,57,36,96,14640,57,5,481.0,2773.0,13.0
2024-04-11,1349.0,16634,21297,2310,8072,97.536,66.977,55,176,57,41,100,12360,34,5,497.0,658.0,13.0
2024-04-12,182.0,6016,4790,828,2515,15.24,24.374,53,126,59,38,96,7440,19,5,495.0,,13.0
2024-04-13,1.0,139,111,16,21,0.0,0.0,51,96,59,24,85,540,25,20,559.0,,13.0
2024-04-14,1473.0,5916,52767,485,2817,13.633,6.521,45,188,59,25,88,7080,99,17,584.0,1760.0,13.0
2024-04-15,2271.0,15431,27374,4043,1382,109.728,104.652,50,179,60,34,93,16020,81,8,552.0,1371.0,13.0
2024-04-16,1343.0,16586,24205,3829,4929,51.068,48.632,54,193,59,42,97,10980,50,5,482.0,1110.0,12.0
2024-04-17,1306.0,7353,9922,1756,5144,17.612,14.884,51,183,59,37,100,10260,49,5,529.0,1029.0,12.0
2024-04-18,958.0,16423,14487,3405,5094,35.929,39.855,49,192,59,32,100,12240,51,5,487.0,1028.0,13.0
2024-04-19,98.0,5629,4504,518,2176,15.796,21.781,48,108,58,26,89,6180,75,13,504.0,,13.0
2024-04-20,1143.0,2168,41667,367,939,0.0,2.145,45,185,57,27,96,5640,100,32,553.0,882.0,13.0
