Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-08-06,203.0,4600.0,3777.0,173.0,3103.0,8.041,11.164,55.0,118.0,60.0,36.0,93.0,6600.0,52.0,5.0,217.0,,13.0
2023-08-07,2241.0,4544.0,56651.0,226.0,7144.0,1.445,0.0,52.0,190.0,59.0,39.0,98.0,9660.0,74.0,5.0,571.0,2733.0,13.0
2023-08-08,1099.0,15376.0,14652.0,4634.0,3717.0,93.759,87.273,59.0,182.0,60.0,37.0,96.0,10080.0,42.0,5.0,575.0,1016.0,13.0
2023-08-09,1154.0,20290.0,16618.0,156.0,14635.0,73.872,29.961,57.0,148.0,60.0,43.0,97.0,18000.0,55.0,5.0,510.0,,13.0
2023-08-10,2279.0,13685.0,50450.0,1066.0,12642.0,9.144,11.724,53.0,180.0,60.0,37.0,99.0,18060.0,56.0,5.0,521.0,2708.0,13.0
2023-08-11,1473.0,14898.0,12499.0,667.0,13810.0,120.486,49.26,66.0,184.0,61.0,49.0,99.0,14640.0,17.0,5.0,632.0,765.0,13.0
2023-08-12,1990.0,8236.0,60202.0,299.0,7579.0,36.68,8.545,48.0,174.0,60.0,26.0,99.0,9360.0,87.0,23.0,675.0,2209.0,13.0
2023-08-13,1296.0,14605.0,11997.0,211.0,14541.0,62.171,21.117,51.0,160.0,60.0,36.0,99.0,18540.0,53.0,11.0,582.0,807.0,13.0
2023-08-14,1692.0,2523.0,73248.0,225.0,2323.0,0.0,0.0,51.0,188.0,60.0,25.0,96.0,6120.0,78.0,14.0,572.0,2804.0,13.0
2023-08-15,1638.0,16595.0,16620.0,4145.0,8521.0,85.562,87.812,54.0,184.0,59.0,33.0,99.0,15660.0,78.0,12.0,545.0,2755.0,13.0
2023-08-16,2183.0,10098.0,43425.0,613.0,8643.0,23.311,25.131,53.0,180.0,58.0,39.0,99.0,15240.0,57.0,5.0,503.0,1375.0,13.0
2023-08-17,1162.0,19708.0,14546.0,2006.0,13257.0,569.363,562.764,51.0,166.0,58.0,25.0,82.0,17160.0,60.0,5.0,836.0,2382.0,13.0
2023-08-18,1360.0,6983.0,9187.0,123.0,8746.0,3.048,14.297,53.0,188.0,57.0,30.0,100.0,12840.0,84.0,16.0,516.0,1545.0,13.0
2023-08-19,1625.0,11663.0,21101.0,638.0,10176.0,45.894,39.569,50.0,177.0,57.0,34.0,99.0,15120.0,61.0,9.0,525.0,404.0,13.0
2023-08-20,2368.0,13311.0,47406.0,540.0,15095.0,21.336,24.245,62.0,183.0,57.0,45.0,100.0,19320.0,26.0,5.0,558.0,2703.0,13.0
2023-08-21,1126.0,5865.0,6460.0,292.0,4416.0,6.096,4.762,49.0,182.0,57.0,21.0,100.0,11220.0,100.0,11.0,515.0,662.0,13.0
2023-08-22,991.0,9800.0,8093.0,376.0,8777.0,18.288,7.944,53.0,176.0,57.0,39.0,100.0,14820.0,79.0,10.0,623.0,1013.0,13.0
2023-08-23,1636.0,30311.0,22387.0,3788.0,17420.0,953.1,949.232,55.0,156.0,57.0,41.0,96.0,23160.0,30.0,5.0,914.0,3847.0,13.0
2023-08-24,2660.0,9093.0,41921.0,671.0,9748.0,6.096,13.449,49.0,176.0,56.0,27.0,100.0,19980.0,67.0,5.0,608.0,2543.0,13.0
2023-08-25,1440.0,17036.0,16409.0,3326.0,7223.0,78.377,81.412,51.0,187.0,56.0,37.0,99.0,13740.0,85.0,9.0,566.0,785.0,13.0
2023-08-26,2052.0,19333.0,15911.0,156.0,16603.0,124.968,78.509,69.0,171.0,57.0,62.0,100.0,18240.0,9.0,5.0,581.0,,14.0
2023-08-27,1215.0,6058.0,29270.0,453.0,7203.0,0.0,4.3870000000000005,48.0,183.0,56.0,22.0,95.0,10740.0,84.0,5.0,805.0,1925.0,13.0
2023-08-28,175.0,6699.0,5509.0,269.0,3429.0,39.881,26.497,49.0,119.0,56.0,32.0,93.0,6960.0,81.0,9.0,544.0,,13.0
2023-08-29,1587.0,22418.0,17748.0,2363.0,14825.0,472.865,462.32,51.0,165.0,56.0,34.0,93.0,21060.0,80.0,17.0,693.0,2467.0,13.0
2023-08-30,2136.0,5296.0,78638.0,387.0,4992.0,0.0,4.48,50.0,176.0,55.0,35.0,99.0,8220.0,71.0,10.0,551.0,2872.0,13.0
2023-08-31,637.0,8873.0,7304.0,498.0,6699.0,37.659,33.981,52.0,134.0,56.0,39.0,99.0,11460.0,57.0,10.0,539.0,,13.0
2023-09-01,2269.0,15503.0,13181.0,1751.0,15501.0,43.363,46.003,56.0,170.0,57.0,46.0,99.0,16980.0,44.0,5.0,557.0,693.0,13.0
2023-09-02,1888.0,19895.0,16294.0,157.0,19462.0,49.851,51.415,68.0,148.0,57.0,55.0,99.0,22140.0,18.0,5.0,509.0,1428.0,13.0
2023-09-03,1264.0,17228.0,16201.0,4046.0,5688.0,27.725,28.466,50.0,177.0,57.0,25.0,100.0,15060.0,92.0,5.0,446.0,979.0,13.0
2023-09-04,144.0,3710.0,3039.0,118.0,2405.0,19.026,16.959,53.0,132.0,57.0,28.0,90.0,4800.0,88.0,21.0,562.0,,13.0
