Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2024-01-24,603.0,6706.0,5847.0,1198,4064,38.533,25.356,71.0,160.0,104.0,39,39.0,4680.0,38.0,28.0,402.0,1058.0,16.0
2024-01-25,663.0,6042.0,5164.0,795,5122,32.571,21.348,71.0,171.0,102.0,54,95.0,8820.0,33.0,18.0,398.0,1251.0,13.0
2024-01-26,817.0,7893.0,7460.0,2004,5097,3.048,2.124,61.0,157.0,95.0,34,99.0,40140.0,43.0,22.0,419.0,1421.0,13.0
2024-01-27,1128.0,13187.0,5959.0,1495,11771,36.719,68.506,58.0,196.0,91.0,35,96.0,14820.0,74.0,37.0,423.0,1924.0,13.0
2024-01-28,91.0,1349.0,1105.0,103,938,0.0,2.951,59.0,131.0,85.0,49,99.0,3420.0,73.0,62.0,453.0,,13.0
2024-01-29,662.0,5958.0,5880.0,2441,2720,12.192,18.075,80.0,171.0,86.0,-1,,5580.0,30.0,22.0,498.0,1149.0,15.0
2024-01-30,42.0,1385.0,1134.0,265,491,18.288,10.286,65.0,105.0,,16,19.0,600.0,32.0,17.0,378.0,,16.0
2024-01-31,1021.0,5603.0,5135.0,1450,5439,0.0,2.95,61.0,172.0,79.0,57,99.0,10560.0,34.0,12.0,397.0,1272.0,14.0
2024-02-01,0.0,,,0,0,0.0,0.0,,,,-1,,,,,389.0,,
2024-02-02,0.0,,,0,0,0.0,0.0,,,,-1,,,,,385.0,,
2024-02-03,0.0,,,0,0,0.0,0.0,,,,-1,,,,,400.0,,
2024-02-04,0.0,,,0,0,0.0,0.0,,,,-1,,,,,392.0,,
2024-02-05,771.0,7112.0,6138.0,1441,4995,52.592,26.197,59.0,164.0,84.0,70,94.0,7260.0,35.0,19.0,418.0,1129.0,14.0
2024-02-06,755.0,7834.0,3292.0,1639,5652,7.7540000000000004,14.518,66.0,178.0,93.0,31,51.0,7680.0,87.0,26.0,406.0,1033.0,19.0
2024-02-07,0.0,,,0,0,0.0,0.0,,,,-1,,,84.0,84.0,426.0,,
2024-02-08,685.0,7652.0,6356.0,702,6436,36.576,25.956,53.0,163.0,97.0,29,78.0,6000.0,81.0,22.0,500.0,1173.0,13.0
2024-02-09,587.0,7076.0,5945.0,727,5764,17.116,23.487,67.0,158.0,98.0,43,73.0,6780.0,39.0,20.0,665.0,1090.0,14.0
2024-02-10,707.0,7793.0,7029.0,2096,3420,173.863,149.4,70.0,182.0,93.0,49,96.0,5160.0,56.0,40.0,1535.0,455.0,13.0
2024-02-11,9.0,525.0,430.0,230,20,3.698,0.0,69.0,99.0,,37,56.0,60.0,56.0,38.0,994.0,,16.0
2024-02-12,811.0,6394.0,6036.0,1439,5003,16.629,20.674,83.0,174.0,93.0,78,99.0,6360.0,33.0,21.0,477.0,1260.0,15.0
2024-02-13,722.0,4538.0,19207.0,1161,2484,2.162,25.021,71.0,180.0,89.0,72,99.0,4980.0,82.0,20.0,471.0,375.0,13.0
2024-02-14,997.0,5044.0,26652.0,88,4924,16.25,2.653,67.0,176.0,90.0,63,82.0,5580.0,84.0,25.0,464.0,1156.0,14.0
2024-02-15,518.0,940.0,22630.0,14,764,9.144,2.029,67.0,177.0,90.0,41,96.0,840.0,36.0,26.0,461.0,442.0,13.0
2024-02-16,604.0,5980.0,5097.0,933,5232,22.798,19.725,67.0,146.0,92.0,35,48.0,5400.0,80.0,28.0,453.0,1383.0,13.0
2024-02-17,1552.0,4189.0,53540.0,310,3862,15.561,20.678,72.0,193.0,94.0,66,99.0,5760.0,66.0,28.0,471.0,1153.0,14.0
2024-02-18,0.0,15.0,12.0,3,0,0.0,0.0,,,,-1,,,,,467.0,,
2024-02-19,0.0,,,0,0,0.0,0.0,,,,-1,,,,,468.0,,
2024-02-20,477.0,8407.0,4975.0,602,6720,38.069,41.515,54.0,133.0,96.0,38,83.0,5820.0,83.0,30.0,468.0,677.0,18.0
2024-02-21,643.0,6125.0,5155.0,872,5271,20.642,13.821,65.0,156.0,95.0,27,52.0,6660.0,38.0,26.0,536.0,1203.0,13.0
2024-02-22,742.0,6969.0,5717.0,885,5337,48.768,52.542,57.0,176.0,93.0,23,48.0,5160.0,87.0,26.0,628.0,1133.0,18.0
2024-02-23,146.0,4544.0,3781.0,1348,936,51.924,36.541,55.0,106.0,84.0,32,66.0,1560.0,87.0,28.0,675.0,,17.0
2024-02-24,642.0,4729.0,4541.0,1076,3774,25.402,27.84,68.0,166.0,89.0,-1,,4260.0,65.0,43.0,631.0,1133.0,16.0
2024-02-25,1252.0,647.0,44803.0,110,605,0.0,3.057,69.0,184.0,88.0,31,71.0,1800.0,58.0,36.0,567.0,1131.0,14.0
2024-02-26,773.0,9272.0,8865.0,2480,4590,32.347,51.346,62.0,175.0,88.0,35,93.0,8100.0,82.0,21.0,462.0,1296.0,18.0
2024-02-27,712.0,798.0,23347.0,31,598,3.048,3.468,68.0,169.0,86.0,27,79.0,2700.0,36.0,25.0,462.0,558.0,13.0
2024-02-28,491.0,4373.0,3582.0,69,5064,9.76,16.823,61.0,145.0,84.0,33,69.0,6120.0,35.0,26.0,468.0,935.0,13.0
2024-02-29,0.0,,,0,0,0.0,0.0,,,,-1,,,,,512.0,,
2024-03-01,0.0,,,0,0,0.0,0.0,,,,-1,,,,,553.0,,
2024-03-02,0.0,,,0,0,0.0,0.0,,,,-1,,,,,582.0,,
2024-03-03,0.0,,,0,0,0.0,0.0,,,,-1,,,,,557.0,,
