sleepStartTimestampGMT,sleepEndTimestampGMT,Date,deep_sleep,light_sleep,rem_sleep,awake_sleep,sleepScore
2024-01-23T22:00:00.0,2024-01-24T05:45:00.0,2024-01-24,,,,,
2024-01-25T01:34:00.0,2024-01-25T09:44:00.0,2024-01-25,0.0,0.0,,0.0,
2024-01-25T20:47:00.0,2024-01-26T02:26:00.0,2024-01-26,0.0,0.0,,0.0,
2024-01-26T22:00:00.0,2024-01-27T05:45:00.0,2024-01-27,,,,,
2024-01-27T22:00:00.0,2024-01-28T05:45:00.0,2024-01-28,,,,,
2024-01-28T22:00:00.0,2024-01-29T05:45:00.0,2024-01-29,,,,,
2024-01-29T20:57:00.0,2024-01-30T08:41:00.0,2024-01-30,0.0,0.0,,0.0,
2024-01-30T23:19:00.0,2024-01-31T08:27:00.0,2024-01-31,10440.0,22260.0,,180.0,
2024-01-31T22:00:00.0,2024-02-01T05:45:00.0,2024-02-01,,,,,
2024-02-01T22:00:00.0,2024-02-02T05:45:00.0,2024-02-02,,,,,
2024-02-02T22:00:00.0,2024-02-03T05:45:00.0,2024-02-03,,,,,
2024-02-03T20:57:00.0,2024-02-04T08:36:00.0,2024-02-04,0.0,0.0,,0.0,
2024-02-04T20:52:00.0,2024-02-05T06:56:00.0,2024-02-05,0.0,0.0,,0.0,
2024-02-05T22:00:00.0,2024-02-06T05:45:00.0,2024-02-06,,,,,
2024-02-06T22:00:00.0,2024-02-07T05:45:00.0,2024-02-07,,,,,
2024-02-07T22:00:00.0,2024-02-08T05:45:00.0,2024-02-08,,,,,
2024-02-08T22:00:00.0,2024-02-09T05:45:00.0,2024-02-09,,,,,
2024-02-09T22:00:00.0,2024-02-10T05:45:00.0,2024-02-10,,,,,
2024-02-10T22:00:00.0,2024-02-11T05:45:00.0,2024-02-11,,,,,
2024-02-11T22:07:00.0,2024-02-12T09:26:00.0,2024-02-12,0.0,0.0,,0.0,
2024-02-12T20:31:00.0,2024-02-13T03:57:00.0,2024-02-13,0.0,0.0,,0.0,
2024-02-13T20:57:00.0,2024-02-14T08:26:00.0,2024-02-14,0.0,0.0,,0.0,
2024-02-14T22:00:00.0,2024-02-15T05:45:00.0,2024-02-15,,,,,
2024-02-15T22:00:00.0,2024-02-16T05:45:00.0,2024-02-16,,,,,
2024-02-16T22:00:00.0,2024-02-17T05:45:00.0,2024-02-17,,,,,
2024-02-17T22:00:00.0,2024-02-18T05:45:00.0,2024-02-18,,,,,
2024-02-18T22:00:00.0,2024-02-19T05:45:00.0,2024-02-19,,,,,
2024-02-19T22:00:00.0,2024-02-20T05:45:00.0,2024-02-20,,,,,
2024-02-20T22:00:00.0,2024-02-21T05:45:00.0,2024-02-21,,,,,
2024-02-21T22:00:00.0,2024-02-22T05:45:00.0,2024-02-22,,,,,
2024-02-22T21:17:00.0,2024-02-23T06:43:00.0,2024-02-23,0.0,0.0,,0.0,
2024-02-23T20:47:00.0,2024-02-24T07:16:00.0,2024-02-24,0.0,0.0,,0.0,
2024-02-24T20:47:00.0,2024-02-25T08:26:00.0,2024-02-25,0.0,0.0,,0.0,
2024-02-25T22:00:00.0,2024-02-26T05:45:00.0,2024-02-26,,,,,
2024-02-26T20:52:00.0,2024-02-27T06:16:00.0,2024-02-27,0.0,0.0,,0.0,
2024-02-27T22:00:00.0,2024-02-28T05:45:00.0,2024-02-28,,,,,
2024-02-28T22:00:00.0,2024-02-29T05:45:00.0,2024-02-29,,,,,
2024-02-29T22:00:00.0,2024-03-01T05:45:00.0,2024-03-01,,,,,
2024-03-01T22:00:00.0,2024-03-02T05:45:00.0,2024-03-02,,,,,
2024-03-02T22:00:00.0,2024-03-03T05:45:00.0,2024-03-03,,,,,
2024-03-03T22:00:00.0,2024-03-04T05:45:00.0,2024-03-04,,,,,
2024-03-04T22:00:00.0,2024-03-05T05:45:00.0,2024-03-05,,,,,
2024-03-05T22:00:00.0,2024-03-06T05:45:00.0,2024-03-06,,,,,
2024-03-06T22:00:00.0,2024-03-07T05:45:00.0,2024-03-07,,,,,
2024-03-07T22:00:00.0,2024-03-08T05:45:00.0,2024-03-08,,,,,
2024-03-08T22:00:00.0,2024-03-09T05:45:00.0,2024-03-09,,,,,
2024-03-09T22:00:00.0,2024-03-10T05:45:00.0,2024-03-10,,,,,
2024-03-10T22:00:00.0,2024-03-11T05:45:00.0,2024-03-11,,,,,
2024-03-11T22:59:00.0,2024-03-12T08:35:00.0,2024-03-12,0.0,0.0,,0.0,
2024-03-12T22:00:00.0,2024-03-13T05:45:00.0,2024-03-13,,,,,
2024-03-13T20:47:00.0,2024-03-14T08:16:00.0,2024-03-14,0.0,0.0,,0.0,
2024-03-14T20:31:00.0,2024-03-15T06:55:00.0,2024-03-15,0.0,0.0,,0.0,
2024-03-15T22:44:00.0,2024-03-16T07:40:00.0,2024-03-16,13680.0,18480.0,,0.0,
2024-03-16T20:42:00.0,2024-03-17T01:31:00.0,2024-03-17,0.0,0.0,,0.0,
2024-03-17T23:26:00.0,2024-03-18T07:18:00.0,2024-03-18,5100.0,22860.0,,360.0,
2024-03-18T22:35:00.0,2024-03-19T06:13:00.0,2024-03-19,4020.0,23040.0,,420.0,
2024-03-19T22:49:00.0,2024-03-20T07:31:00.0,2024-03-20,6420.0,24600.0,,300.0,
2024-03-20T21:20:00.0,2024-03-21T06:13:00.0,2024-03-21,9300.0,22380.0,,300.0,
2024-03-21T22:36:00.0,2024-03-22T06:00:00.0,2024-03-22,4680.0,21540.0,,420.0,
2024-03-22T23:04:00.0,2024-03-23T07:56:00.0,2024-03-23,0.0,0.0,,0.0,
2024-03-23T23:04:00.0,2024-03-24T06:10:00.0,2024-03-24,10920.0,14280.0,,360.0,
2024-03-24T21:46:00.0,2024-03-25T06:43:00.0,2024-03-25,1920.0,29760.0,,540.0,
2024-03-25T22:00:00.0,2024-03-26T05:45:00.0,2024-03-26,,,,,
2024-03-26T22:46:00.0,2024-03-27T07:29:00.0,2024-03-27,10200.0,20820.0,,360.0,
2024-03-28T00:07:00.0,2024-03-28T07:16:00.0,2024-03-28,10860.0,14340.0,,540.0,
2024-03-28T21:08:00.0,2024-03-29T07:11:00.0,2024-03-29,18360.0,16920.0,,900.0,
2024-03-29T23:19:00.0,2024-03-30T06:29:00.0,2024-03-30,10860.0,14040.0,,900.0,
2024-03-30T21:45:00.0,2024-03-31T05:36:00.0,2024-03-31,8940.0,19020.0,,300.0,
2024-03-31T22:28:00.0,2024-04-01T06:20:00.0,2024-04-01,9720.0,18120.0,,480.0,
2024-04-01T21:28:00.0,2024-04-02T06:11:00.0,2024-04-02,10380.0,21000.0,,0.0,
2024-04-02T22:16:00.0,2024-04-03T07:00:00.0,2024-04-03,10380.0,20880.0,,180.0,
2024-04-03T22:25:00.0,2024-04-04T06:01:00.0,2024-04-04,7800.0,19140.0,,420.0,
2024-04-04T23:24:00.0,2024-04-05T06:23:00.0,2024-04-05,7980.0,16800.0,,360.0,
2024-04-05T22:17:00.0,2024-04-06T06:28:00.0,2024-04-06,7860.0,21420.0,,180.0,
2024-04-06T22:18:00.0,2024-04-07T06:36:00.0,2024-04-07,0.0,0.0,,0.0,
2024-04-07T20:16:00.0,2024-04-08T05:24:00.0,2024-04-08,11280.0,20640.0,,960.0,
2024-04-08T21:59:00.0,2024-04-09T04:49:00.0,2024-04-09,8520.0,15780.0,,300.0,
2024-04-09T22:02:00.0,2024-04-10T06:23:00.0,2024-04-10,4380.0,25320.0,,360.0,
