activity_type,begintimestamp,duration,startLatitude,startLongitude,endtimestamp,Date
hiit,2024-03-24 19:44:08.000,01:14:17,,,2024-03-24 20:58:25,2024-03-24
cycling,2024-03-24 16:22:47.000,01:05:06,46.52447272092104,6.647827047854662,2024-03-24 17:27:53,2024-03-24
lap_swimming,2024-03-22 19:26:07.000,00:11:06,,,2024-03-22 19:37:13,2024-03-22
indoor_cycling,2024-03-22 06:00:05.000,00:25:30,,,2024-03-22 06:25:35,2024-03-22
running,2024-03-21 17:50:39.000,00:21:52,46.518973438069224,6.580726727843285,2024-03-21 18:12:31,2024-03-21
volleyball,2024-03-20 18:29:59.000,00:56:01,,,2024-03-20 19:26:00,2024-03-20
cycling,2024-03-20 12:35:19.000,04:27:14,46.5239411406219,6.647526305168867,2024-03-20 17:02:33,2024-03-20
running,2024-03-19 20:24:21.000,00:45:02,46.52404717169702,6.648121252655983,2024-03-19 21:09:23,2024-03-19
hiit,2024-03-19 19:09:02.000,00:42:02,,,2024-03-19 19:51:04,2024-03-19
lap_swimming,2024-03-18 19:58:29.000,00:36:08,,,2024-03-18 20:34:37,2024-03-18
soccer,2024-03-17 14:28:06.000,02:01:47,46.51987968944013,6.583836833015084,2024-03-17 16:29:53,2024-03-17
running,2024-03-16 16:26:51.000,01:00:04,46.52397860772908,6.6493492014706135,2024-03-16 17:26:55,2024-03-16
lap_swimming,2024-03-15 19:42:38.000,01:18:40,,,2024-03-15 21:01:18,2024-03-15
running,2024-03-14 17:23:19.000,00:53:04,46.514059295877814,6.572373826056719,2024-03-14 18:16:23,2024-03-14
cycling,2024-03-14 07:06:40.000,00:43:33,46.524357134476304,6.647719759494066,2024-03-14 07:50:13,2024-03-14
cycling,2024-03-13 11:49:03.000,03:08:38,46.524195112288,6.647590007632971,2024-03-13 14:57:41,2024-03-13
strength_training,2024-03-12 19:01:25.000,00:37:58,,,2024-03-12 19:39:23,2024-03-12
running,2024-03-12 17:34:45.000,00:47:45,46.523931166157126,6.649337634444237,2024-03-12 18:22:30,2024-03-12
lap_swimming,2024-03-11 20:06:16.000,00:39:30,,,2024-03-11 20:45:46,2024-03-11
running,2024-03-11 18:31:03.000,00:41:09,46.51466304436326,6.601260295137763,2024-03-11 19:12:12,2024-03-11
running,2024-03-09 18:31:18.000,01:00:05,46.52418212033808,6.648371201008558,2024-03-09 19:31:23,2024-03-09
lap_swimming,2024-03-08 19:15:26.000,00:38:57,,,2024-03-08 19:54:23,2024-03-08
running,2024-03-07 17:42:50.000,00:35:46,46.524286391213536,6.648613605648279,2024-03-07 18:18:36,2024-03-07
volleyball,2024-03-06 18:11:53.000,01:22:06,,,2024-03-06 19:33:59,2024-03-06
cycling,2024-03-06 08:12:57.000,03:25:17,46.523930160328746,6.6474678833037615,2024-03-06 11:38:14,2024-03-06
hiit,2024-03-05 18:35:05.000,00:49:29,,,2024-03-05 19:24:34,2024-03-05
running,2024-03-04 18:16:06.000,00:30:51,46.52478511445224,6.649668635800481,2024-03-04 18:46:57,2024-03-04
running,2024-03-02 09:49:57.000,00:47:54,46.52416191995144,6.642692880704999,2024-03-02 10:37:51,2024-03-02
cycling,2024-03-02 07:12:43.000,01:51:40,46.524283457547426,6.647707438096404,2024-03-02 09:04:23,2024-03-02
lap_swimming,2024-03-01 18:18:37.000,00:50:16,,,2024-03-01 19:08:53,2024-03-01
running,2024-02-29 17:42:37.000,00:30:00,46.52399235405028,6.649235626682639,2024-02-29 18:12:37,2024-02-29
indoor_cycling,2024-02-28 18:25:20.000,01:02:34,,,2024-02-28 19:27:54,2024-02-28
cycling,2024-02-27 16:50:36.000,00:44:51,46.52432410977781,6.6478153970092535,2024-02-27 17:35:27,2024-02-27
lap_swimming,2024-02-27 12:11:10.000,00:34:15,,,2024-02-27 12:45:25,2024-02-27
running,2024-02-26 18:17:20.000,00:30:07,46.52423392049968,6.64891560561955,2024-02-26 18:47:27,2024-02-26
running,2024-02-22 17:22:01.000,00:43:27,46.52418379671872,6.648960951715708,2024-02-22 18:05:28,2024-02-22
volleyball,2024-02-21 18:17:56.000,01:15:51,,,2024-02-21 19:33:47,2024-02-21
cycling,2024-02-21 14:31:19.000,02:11:29,46.52441211976111,6.6478003934025764,2024-02-21 16:42:48,2024-02-21
lap_swimming,2024-02-20 14:35:31.000,00:39:15,,,2024-02-20 15:14:46,2024-02-20
running,2024-02-19 16:35:24.000,00:53:34,46.52417088858783,6.648761127144098,2024-02-19 17:28:58,2024-02-19
running,2024-02-18 17:12:43.000,01:45:25,46.52430575340986,6.648542946204543,2024-02-18 18:58:08,2024-02-18
cycling,2024-02-17 12:18:26.000,01:48:37,46.52441178448498,6.647796202450991,2024-02-17 14:07:03,2024-02-17
lap_swimming,2024-02-16 14:23:44.000,00:28:28,,,2024-02-16 14:52:12,2024-02-16
running,2024-02-15 12:04:12.000,01:08:14,46.56461214646697,6.689114375039935,2024-02-15 13:12:26,2024-02-15
running,2024-02-14 18:11:35.000,01:10:01,46.52396318502724,6.6494346130639315,2024-02-14 19:21:36,2024-02-14
running,2024-02-12 12:09:12.000,01:09:46,40.42017764411867,-3.7053186167031527,2024-02-12 13:18:58,2024-02-12
cycling,2024-02-09 11:32:59.000,04:16:51,46.16096969693899,7.405926436185837,2024-02-09 15:49:50,2024-02-09
running,2024-02-07 15:43:57.000,01:00:27,46.16337848827243,7.412014212459326,2024-02-07 16:44:24,2024-02-07
cycling,2024-02-05 10:39:18.000,05:36:04,46.52428169734776,6.647638203576207,2024-02-05 16:15:22,2024-02-05
running,2024-02-04 15:44:51.000,00:34:22,46.5646798722446,6.688958220183849,2024-02-04 16:19:13,2024-02-04
cycling,2024-01-31 13:29:57.000,02:31:49,46.524898605421185,6.648017233237624,2024-01-31 16:01:46,2024-01-31
running,2024-01-30 18:32:18.000,00:53:37,46.523974081501365,6.649364875629544,2024-01-30 19:25:55,2024-01-30
lap_swimming,2024-01-30 10:15:18.000,00:28:32,,,2024-01-30 10:43:50,2024-01-30
cycling,2024-01-29 12:43:55.000,04:15:33,46.52423727326095,6.64760610088706,2024-01-29 16:59:28,2024-01-29
cycling,2024-01-28 14:23:29.000,02:15:05,46.52434129267931,6.64770090021193,2024-01-28 16:38:34,2024-01-28
badminton,2024-01-27 11:29:36.000,01:41:59,,,2024-01-27 13:11:35,2024-01-27
running,2024-01-27 08:43:26.000,01:17:32,46.52424314059317,6.648690719157457,2024-01-27 10:00:58,2024-01-27
hiit,2024-01-26 19:13:02.000,00:46:22,,,2024-01-26 19:59:24,2024-01-26
indoor_cycling,2024-01-26 18:08:30.000,01:00:02,,,2024-01-26 19:08:32,2024-01-26
lap_swimming,2024-01-26 10:19:40.000,00:37:37,,,2024-01-26 10:57:17,2024-01-26
running,2024-01-25 12:33:30.000,00:54:25,46.52430566959083,6.648733550682664,2024-01-25 13:27:55,2024-01-25
running,2024-01-24 17:24:23.000,01:30:02,46.56460678204894,6.689088894054294,2024-01-24 18:54:25,2024-01-24
hiit,2024-01-23 11:16:11.000,01:03:42,,,2024-01-23 12:19:53,2024-01-23
running,2024-01-22 22:06:07.000,01:06:26,46.523945750668645,6.6494036838412285,2024-01-22 23:12:33,2024-01-22
running,2024-01-19 17:50:12.000,01:01:43,46.52405840344727,6.6488732770085335,2024-01-19 18:51:55,2024-01-19
indoor_cycling,2024-01-17 21:20:37.000,01:00:02,,,2024-01-17 22:20:39,2024-01-17
running,2024-01-16 21:09:45.000,01:00:04,46.524229645729065,6.648855675011873,2024-01-16 22:09:49,2024-01-16
running,2024-01-14 21:24:28.000,01:19:13,46.52409159578383,6.648177243769169,2024-01-14 22:43:41,2024-01-14
indoor_cycling,2024-01-13 19:51:09.000,01:30:56,,,2024-01-13 21:22:05,2024-01-13
indoor_cycling,2024-01-12 21:14:37.000,01:00:18,,,2024-01-12 22:14:55,2024-01-12
running,2024-01-11 18:55:47.000,00:48:56,46.51591446250677,6.62770670838654,2024-01-11 19:44:43,2024-01-11
